title,sold_price_usd,ended_at,condition,keyword,item_id
CORELLE Corning WINDSOR FARM Two Dinner Plates Cows Sheep Chickens Hens,24.00,2026-09-18,New (Other),corningware,137672846632
Corning Ware Blue Cornflower Meat Platter and Rack,21.50,2026-09-18,Pre-Owned,corningware,336778590697
"Corning Ware Mallard Duck Casserole Dishes & Lids ""Life Styles"" Set of 3 Vintage",879.99,2026-09-18,Pre-Owned,corningware,407197430387
5 Pc. CorningWare Grab It / Snack It Dishes White 1- P-150-B And 4- P-185-B,35.00,2026-09-18,Pre-Owned,corningware,227463796717
CorningWare French White 1 1/2 Qt Oval Stoneware Casserole Dish w/ Glass Lid,12.00,2026-09-18,Pre-Owned,corningware,377504401573
"Corning Ware Cookware MW-11 Microwave Browning Grill Tray Platter 12"" X 7"" White",11.04,2026-09-18,Pre-Owned,corningware,307173137476
Spice of Life Le Persil La Sauge Corningware Baking Dish 1.5 Quart A-1 1/2-B,14.95,2026-09-18,Pre-Owned,corningware,336257146843
Pyrex DC 1.5 C Ribbed Replacement Lid Corning Ware,8.99,2026-09-18,Pre-Owned,corningware,196263906636
Vintage Corning Ware Blue Cornflower. P-1-B 1QT  Casserole Dish w/ Lid NICE,14.95,2026-09-18,Pre-Owned,corningware,336367850747
Clear Square Glass Casserole Dish w/ Transparent Handle Lid P-7-C,6.00,2026-09-18,Pre-Owned,corningware,318868152262
Corning Ware Vintage 6 cup TeaPot FLORAL BOUQUET  Flower Daisy Yellow  No Lid D,18.89,2026-09-18,Pre-Owned,corningware,307156114745
Vintage Corning Ware Grab It Bowl Set Of 2 with Glass Lids P-150-B White Soup,29.95,2026-09-18,Pre-Owned,corningware,206552725842
Vintage New In Box Blue Cornflower 9 Piece Modern Family Set Made In USA   NOS,138.50,2026-09-18,New (Other),corningware,298665138120
