item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
,Lego Creator #31145 Red Dragon 149 Pieces 3-In-1 Building Toy Set Sealed,5.00,1,2026-06-20T18:02:00,16,,
,"Open Box LEGO DC Batman, Star Wars Darth Maul, MEGA Pokemon Pokedex",33.00,9,2026-06-20T18:02:00,103,,
,NIB Lego Architecture London Skyline Collection 468 Pc. Building Set No. 21034,17.00,8,2026-06-20T18:03:00,171,,
,ELEGOO Super Starter Kit UNO R3 Project Electronics Learning Kit,19.99,1,2026-06-20T18:03:00,57,,
,LEGO Jurassic World 75939 Dr. Wu's Lab Baby Dinosaurs Breakout Set 164pcs,35.99,8,2026-06-20T18:03:00,5,,
,Sealed LEGO Star Wars 75078 & 30678 Instruction Booklets & Brick Bags Lot,26.00,3,2026-06-20T18:03:00,8,,
,2 lbs Lego Building Bricks & Pieces,33.00,7,2026-06-20T18:03:00,376,,
,LEGO Minifigures Assorted Lot Mixed Themes Astronauts Knights City Fantasy,51.00,7,2026-06-20T18:03:00,8,,
,Large Lot Assorted LEGO Bricks & Partially Built Sets City Creator Technic,77.00,11,2026-06-20T18:04:00,2,,
,Large Bulk Lot of Assorted Genuine LEGO Bricks Parts Wheels Windows,31.00,6,2026-06-20T18:04:00,2,,
,Lego Speed Champions Bwt Race Car 77248 & Ferrari Hype Car (2) 30709 - Sealed,17.00,2,2026-06-20T18:04:00,33,,
,Lego Lot Mini Figures Ramses Pyramid City Beach Shop Booklets,56.00,12,2026-06-20T18:04:00,164,,
,Unsorted Building Blocks & LEGO Preowned 15.5lbs,46.00,5,2026-06-20T18:04:00,81,,
,Large Lot Used LEGO Bricks Plates Specialty Pieces Mixed Colors Parts,46.00,9,2026-06-20T18:05:00,2,,
,LEGO Technic McLaren Senna GTR 42123,14.99,1,2026-06-20T18:05:00,201,,
,LEGO Botanicals Factory Sealed 10328 Bouquet of Roses,19.09,5,2026-06-20T18:05:00,29,,
,Lego Kobe Bryant Art,41.01,7,2026-06-20T18:05:00,29,,
,16.82 lbs Lego Building Bricks & Pieces,34.00,8,2026-06-20T18:05:00,376,,
,25lb. Lot of Legos,179.00,14,2026-06-20T18:06:00,26,,
,LEGO TECHNIC: Giant Model Set (8277) - For Parts Manual Included,24.99,1,2026-06-20T18:06:00,102,,
,LEGO Super Mario 71369 Bowser's Castle Boss Battle Set Sealed Appears New,53.00,7,2026-06-20T18:06:00,81,,
,Vintage LEGO Bionicle Toa Mata & Bohrok Sets with Canisters Lot Used,76.00,5,2026-06-20T18:07:00,2,,
,(2) LEGO Dimensions Sets NIB: 6107300 Batman Movie/Fun Pack 71214 Lego Movie,21.20,4,2026-06-20T18:07:00,2,,
,Open Box LEGO MINDSTORMS Set 45560 Education EV3 Expansion,33.00,7,2026-06-20T18:07:00,48,,
,2 LBS Lego Minifigs Lot,261.00,15,2026-06-20T18:07:00,159,,
,Lego 3pc Bundle of Building Brick Sets,38.11,9,2026-06-20T18:07:00,73,,
,Lot Of Assorted Lego Multicolor Bricks & Blocks Mini Figurines 1.55 Lbs,206.00,8,2026-06-20T18:07:00,16,,
,Large Mixed Lot LEGO Bricks Parts Mindstorms Programmable Brick Used,19.00,3,2026-06-20T18:08:00,2,,
,Large Bulk Lot Assorted LEGO Bricks Pieces Wheels Windows Doors Used,33.99,3,2026-06-20T18:08:00,2,,
,Lego Icons Botanical Collection Flower Bouquet 10280 Building Decoration Set Inc,14.99,1,2026-06-20T18:08:00,62,,
,Sony PlayStation 3 Fat 80GB Console CECHK01 LEGO Batman 3 1 Game Console Lot,46.00,8,2026-06-20T18:08:00,185,,
,Lot of 8 PS3 Games GTA V COD Black Ops Guitar Hero LEGO Indiana Jones,20.01,4,2026-06-20T18:08:00,5,,
,Lego Set - Factory Sealed 2 Sets,13.99,2,2026-06-20T18:08:00,47,,
,Large Bulk Lot Genuine LEGO Assorted Bricks Plates Slopes Mixed Colors,46.00,6,2026-06-20T18:09:00,2,,
,"Mixed LEGO Mini Figure Lot Vintage, Harry Potter & More",49.00,7,2026-06-20T18:09:00,48,,
