title,sold_price_usd,ended_at,condition,keyword,item_id
Vintage Singer Featherweight 221 Sewing Machine,153.00,2026-09-15,Pre-Owned,vintage sewing machine,206557617143
Vintage Black Singer SewHandy Model 20 Child's Sewing Machine in Box  Antique,123.99,2026-09-14,Pre-Owned,vintage sewing machine,178493337420
"VINTAGE SINGER SEWING MACHINE MODEL 15-91, SERVICED, #AL089250",250.00,2026-09-14,Pre-Owned,vintage sewing machine,298359612812
Kenmore 158.13180 1318 Sewing Thread Tension Tensioner Vintage,19.95,2026-09-14,Pre-Owned,vintage sewing machine,177966611678
Vintage Elna Lock L2 Beige Red Sewing Serger Machine w/ Foot Pedal & Accessories,55.89,2026-09-14,Pre-Owned,vintage sewing machine,147557617160
Vtg Working Singer 401A SLANT-O-MATIC Sewing Machine W/ Pedal And Power Cord,158.79,2026-09-14,Pre-Owned,vintage sewing machine,298667821056
"Singer FEATHERWEIGHT Model 221K Sewing Machine + Case & Accessories. VG, 1950s?",770.00,2026-09-14,Pre-Owned,vintage sewing machine,147511733841
Real Mini Sewing Machine - see photos for condition - free shipping #8,88.00,2026-09-14,Pre-Owned,vintage sewing machine,327257583507
Vintage Singer Featherweight 221 Sewing Machine w/ Foot Pedal & Case - WORKING,314.00,2026-09-14,Pre-Owned,vintage sewing machine,168664770196
VTG SINGER LITTLE TOUCH & SEW SEWING MACHINE #67A23  W/ Box WORKING,39.95,2026-09-14,Pre-Owned,vintage sewing machine,178320036933
TESTED  Singer Featherweight 221 Sewing Machine 1951 Centennial w/ Case #2,450.00,2026-09-14,Pre-Owned,vintage sewing machine,237048862988
Vintage 1951 Singer Model 128 Sewing Machine With Wooden Case,109.99,2026-09-14,Pre-Owned,vintage sewing machine,357888284157
Singer Quickfix Compact Sewing Machine W/Foot Pedal In Box Works,28.95,2026-09-14,Pre-Owned,vintage sewing machine,307128440125
White 1964 Singer 221K Featherweight Sewing Machine w/Case & Accessories,999.00,2026-09-14,Pre-Owned,vintage sewing machine,336770131817
Vtg Singer Spartan 192K Compact Sewing Machine & Case | Tested,29.99,2026-09-14,Pre-Owned,vintage sewing machine,187490443357
1948 Singer Child's Sewing Machine No 20 with box vintage 1940s,100.00,2026-09-14,Pre-Owned,vintage sewing machine,117412679527
